"shop_no","rgn2_nm","content"
"761544","서초구","고기, 양식, 경양식, 한끼식사되는, 고기성애자, 친구들이랑, 꽃등심스테이크, 티본스테이크, 점심, 촉촉, 스테이크, 집에서데이트, 스트레스풀자, 육즙이흐르는, 따끈한, 안심스테이크, 짭짤한, 아메리칸푸드, 미국식, 엘본스테이크, 불맛, 등심스테이크, 연인끼리"
"764435","용산구","디저트·커피, 양식, NEW, 토마토모짜렐라샌드위치, 주말, 건강빵, 속이풀리는, 이국적, 디저트홀릭, 베이커리, 빵덕후, 피셔맨샌드위치, 여자들끼리, 빵집, TV맛집, 브런치, 수제버거, 샌드위치, 카페, 분위기낼때, 현지인운영, 연인끼리"
"774135","마포구","양식, NEW, 치킨마크니, 바삭바삭, 매콤, 회식, 샐러드, 소스가맛있는, 이국적, 육즙이흐르는, 특이한메뉴, 라씨, 정갈한, 고급스러운, 쫄깃쫄깃, 인도음식, 탄두리치킨, 이색맛집, 불맛, 고소한, 치킨, 연인끼리"
"774662","성북구","한식, 찌개, 철판볶음"
"776299","영등포구","일식·회, NEW, 회, 활어회"
"776878","동대문구","한식, NEW, 제육, 불고기"
"780239","서초구","아시안, NEW, 주말, 회사동료랑, 분짜, 쌀국수, 양지쌀국수, 입소문난, 점심, 깔끔, 이국적, 넴, 맑은국물, 향이좋은, 고퀄리티, 동남아음식, 불고기쌀국수, 여자들끼리, 국물덕후, 따끈한, 볶음밥, 고소한, 차돌쌀국수, 담백"
"795361","수원시 권선구","디저트·커피, NEW, 망고스무디, 프라페, 달콤, 음료판매, 입소문난, 직원이자신있어하는, 이국적, 디저트홀릭, 집에서데이트, 블루레몬에이드, 폭염, 특이한메뉴, 여자들끼리, 점심에붐비는, 간식, 샌드위치, 아메리카노, 빙수, 카페, 고소한"
"796498","성남시 분당구","null"
"797381","광진구","디저트·커피, 양식, NEW, 피자, 케이크"
"799723","마포구","null"
"802127","서초구","null"
"802286","서초구","null"
"607898","동작구","고기, 한식, 단짠단짠, 주말, 엄지척, 매콤, 저녁, 부드러운, 동태탕, 얼리먹답터, 비쥬얼, 속이든든한, 생선구이정식, 정통한식, 남자들끼리, 황태해장국, 푸짐한, 집밥, 맛점, 졸맛, 바삭바삭, 밥집, 입소문난, 점심, 가족식탁용, 참가자미무침, 고퀄리티, 중독성쩔어, 정갈한, 퇴근후, 명태조림, 런치세트, 숨겨진맛집, 갓집밥, 취향저격"
"615301","송파구","고기, 한식, 주말, 쌀쌀할때, 비오는날, 간장게장, 저녁에붐비는, 회식, 사시사철, 점심, 내방, 가족식탁용, 아구찜, 낙지볶음, 간장새우, 동창모임, 얼큰, 매운음식덕후, 재료가신선한, 폭식하는날, 해물찜, 푸짐한, 숨겨진맛집, 숙취해소, 보양식, 사무실, 레알인정"
"617042","고양시 일산서구","한식, 닭볶음탕, 담백, 쌀쌀할때, 겨울, 한끼식사되는, 해물파전, 회식, 국밥성애자, 점심, 저녁, 아이와어른함께, 진한국물, 가정식, 안주로딱좋은, 동창모임, 정통한식, 얼큰, 남자들끼리, 저칼로리, 안주가맛있는, 야식, 혼밥, 24시간영업, 숙취해소, 연중무휴, 보양식, 연인끼리"
"620662","강남구","분식, 진미김밥, 간이약한, 달콤, 한끼식사되는, 친구들이랑, 매콤, 쌀덕후, 저녁, 철판제육덮밥, 부드러운, 비쥬얼, 속이든든한, 육즙이흐르는, 분식, 여자들끼리, 얼큰, 남자들끼리, 면덕후, 매운제육쌈김밥, 푸짐한, 집밥, 크림치즈김밥, 1인메뉴, 사무실, 연인끼리, 경양식, 바삭바삭, 덮밥덕후, 사시사철, 점심, 시원한, 아이와어른함께, 가성비갑, 부담없는, 꿀조합, 따끈한, 제육쌈김밥, 간편하게먹기, 쫀득, 쫄깃쫄깃, 김선생비빔면, 연중무휴, 갓집밥, 담백"
"624149","용산구","양식, 이태원버거, 음료판매, 입소문난, 사시사철, 핵폭탄버거, 낮술, 이국적, 가성비갑, 육즙이흐르는, 속이든든한, 여자들끼리, 재료가신선한, 남자들끼리, TV맛집, 대박, 자이언트루터버거, 미국식, 아메리칸푸드, 갓버거, 루터버거, 치즈가흐르는, 푸짐한, 연중무휴, 졸맛"
"652644","송파구","일식·회, 쌀쌀할때, 저녁에붐비는, 탄성자동발사, 입소문난, 회식, 사시사철, 저녁, 동태한마리탕, 내방, 가족식탁용, 고퀄리티, 간장새우, 입에서순삭, 힐링푸드, 참가자미세꼬시, 송년회, 재료가신선한, 따끈한, 갓스시, 문어숙회, 사르르녹는, 일식전문, 보양식, 담백"
"668815","강남구","디저트·커피, 달콤, 여름, 음료판매, 부드러운, 메리뉴욕, 프랜차이즈, 착한가격, 간식, 동아리방, 카페, 상큼, 사무실, 연인끼리, 민트초코칩요프치노, 꿀맛, 베리베리요거트빙수, 썸남썸녀랑, 블루베리생크림오믈렛한박스, 시원한, 디저트홀릭, 스트로베리프루티, 메리망고, 세트메뉴가있는, 폭염, 부담없는, 스무디, 가볍게먹기좋은, 빙수"
"675541","강동구","디저트·커피, 꿀맛, 달콤, 친구들이랑, 새우토스트mvp, 사시사철, 베이컨치즈베이글, 빵덕후, 프랜차이즈, 드레싱이맛있는, 햄스페셜토스트, 가성비갑, 캠퍼스안, 중독성쩔어, 입에서순삭, 분식, 따끈한, 불갈비토스트mvp, 착한가격, 딸기주스, 혼밥, 아점, 간식, 과방, 치즈가흐르는, 토스트, 고소한, 가벼운식사"
"681353","강동구","한식, 사무실, 겨울, 밥집, 국밥성애자, 점심, 저녁, 프랜차이즈, 가족식탁용, 진한국물, 속이든든한, 얼큰, 풍미가깊은, 찬바람쌩쌩, 따끈한, 점심에붐비는, 쫀득, 찹쌀순대, 혼밥, 24시간영업, 동아리방, 오징어순대, 숙취해소, 집밥, 레알인정, 순대국밥"
"708974","강남구","고기, 한식, 크림소갈비찜, 고기성애자, 친구들이랑, 매콤, 입소문난, 엄지척, 저녁, 부드러운, 세트메뉴가있는, 갈비찜, 비쥬얼, 속이든든한, 고퀄리티, 특이한메뉴, 여자들끼리, 밥볶아먹기좋은, 소갈비찜, 치즈덕후, 숨겨진맛집"
"715402","동대문구","고기, 양식, 햄버거, 치킨"
"716174","강남구","양식, 경양식, 한끼식사되는, 매콤, 이거저거다맛있음, 사시사철, 부드러운, 비쥬얼, 가성비갑, 입에서순삭, 리조또, 여자들끼리, 홈메이드, 점심에붐비는, 파스타, 혼밥, 졸맛, 담백"
"716851","중구","일식·회, 초밥, 회"
"721298","강남구","아시안, 회사동료랑, 치킨마크니, 시금치커리, 한끼식사되는, 매콤, 회식, 이거저거다맛있음, 깔끔, 하이엔드, 저녁, 카레전문, 이국적, 특이한메뉴, 여자들끼리, 남자들끼리, 카레, 탄두리치킨, 런치세트, 치킨커리, 맛점, 연인끼리"
