,day,group,usercnt
571,2016-08-01,6,29642
572,2016-10-05,1,1775864
573,2016-08-28,7,12784
574,2016-08-01,7,13170
575,2016-09-08,1,1647577
576,2016-10-05,2,635571
577,2016-08-12,1,1534210
578,2016-09-08,2,554412
579,2016-10-05,3,309703
580,2016-08-12,2,477968
581,2016-09-08,3,261437
582,2016-10-05,4,161538
583,2016-08-12,3,217919
584,2016-09-08,4,133667
585,2016-10-05,5,85983
586,2016-08-12,4,110119
587,2016-09-08,5,71315
588,2016-10-05,6,41659
589,2016-08-12,5,59065
590,2016-09-08,6,35527
591,2016-10-05,7,17156
592,2016-08-12,6,29720
593,2016-10-16,1,1838659
594,2016-09-08,7,15215
595,2016-08-12,7,13524
596,2016-10-16,2,664799
597,2016-09-19,1,1861297
598,2016-10-16,3,327872
599,2016-08-23,1,1837990
600,2016-09-19,2,618036
601,2016-10-16,4,171062
602,2016-08-23,2,515933
603,2016-09-19,3,297601
604,2016-10-16,5,87152
605,2016-08-23,3,227329
606,2016-09-19,4,154055
607,2016-10-16,6,41526
608,2016-08-23,4,111916
609,2016-09-19,5,81015
610,2016-10-16,7,16711
611,2016-08-23,5,56598
612,2016-09-19,6,39085
613,2016-08-23,6,27624
614,2016-10-27,1,1985544
615,2016-09-19,7,16755
616,2016-08-23,7,12411
617,2016-09-30,1,1798492
618,2016-10-27,2,696413
619,2016-09-30,2,623382
620,2016-09-03,1,1652401
621,2016-10-27,3,340670
622,2016-09-30,3,304158
623,2016-08-07,1,1577737
624,2016-09-03,2,533620
625,2016-10-27,4,176736
626,2016-09-30,4,160048
627,2016-08-07,2,478139
628,2016-09-03,3,249312
629,2016-10-27,5,93672
630,2016-09-30,5,86883
631,2016-08-07,3,215022
632,2016-09-03,4,128255
633,2016-10-27,6,45181
634,2016-09-30,6,40925
635,2016-08-07,4,109805
636,2016-09-03,5,69118
637,2016-10-27,7,18260
638,2016-09-30,7,17537
639,2016-08-07,5,59204
640,2016-09-03,6,34395
641,2016-10-11,1,1784631
642,2016-08-07,6,29901
643,2016-09-03,7,14745
